#rmin rmax central devtempsns
# tap water initially at roughly 17 °C
15595 16175 15660 4304
15587 16170 15655 4304
15600 16188 15675 4304
15598 16189 15670 4304
15590 16184 15666 4305
15584 16181 15665 4304
15585 16180 15665 4304
15603 16193 15683 4304
15600 16188 15680 4304
15598 16185 15678 4304
15594 16184 15673 4304
15594 16215 15674 4305
15611 16206 15690 4303
15604 16190 15687 4304
15607 16188 15688 4303
15609 16187 15687 4304
15607 16186 15682 4303
15613 16241 15697 4303
15609 16239 15692 4304
15603 16242 15691 4304
15606 16242 15692 4303
15598 16247 15690 4304
15599 16238 15690 4304
15598 16241 15688 4305
15600 16236 15687 4304
15599 16237 15686 4304
15597 16235 15686 4304
15596 16231 15682 4304
15595 16233 15683 4303
15592 16231 15682 4304
15593 16231 15680 4305
15592 16234 15681 4304
15588 16233 15681 4303
15585 16227 15675 4304
15585 16228 15673 4304
15585 16228 15672 4304
15579 16227 15670 4303
15582 16231 15671 4304
15633 16260 15714 4303
15630 16255 15712 4303
15624 16255 15711 4304
15627 16255 15712 4304
15623 16257 15713 4304
15624 16252 15711 4304
15627 16252 15709 4303
15625 16252 15707 4303
15626 16255 15706 4303
15627 16252 15704 4304
15614 16250 15703 4303
15619 16254 15706 4302
15618 16251 15701 4304
15612 16251 15701 4303
15608 16245 15698 4303
15614 16248 15699 4303
15608 16243 15696 4303
15609 16238 15696 4304
15605 16236 15691 4303
15607 16222 15694 4303
15599 16211 15694 4303
15646 16215 15724 4302
15648 16214 15721 4303
15651 16216 15722 4303
15642 16213 15720 4303
15639 16213 15720 4303
15637 16215 15720 4303
15641 16216 15718 4303
15634 16211 15716 4303
15634 16210 15718 4303
15637 16209 15712 4302
15633 16212 15715 4302
15630 16252 15715 4302
15635 16261 15711 4303
15629 16258 15710 4302
15632 16252 15709 4303
15624 16252 15708 4302
15624 16253 15708 4302
15625 16252 15709 4302
15621 16238 15709 4301
15618 16201 15707 4303
15618 16201 15706 4302
