# device warming up from roughly 9 °C, watching a ceiling of 19.5 °C
#central devtempsns
16485 4553
16485 4551
16493 4549
16468 4549
16508 4547
16490 4547
16511 4544
16490 4544
16509 4541
16489 4541
16503 4540
16484 4537
16470 4536
16469 4535
16455 4534
16465 4532
16447 4530
16456 4529
16441 4529
16444 4527
16432 4526
16437 4524
16421 4523
16423 4522
16413 4522
16413 4520
16398 4519
16404 4518
16392 4517
16393 4515
16379 4515
16381 4513
16371 4512
16357 4511
16366 4509
16353 4509
16352 4507
16340 4505
16345 4504
16335 4503
16339 4501
16323 4501
16325 4500
16315 4499
16317 4497
16300 4496
16309 4495
16300 4493
16298 4493
16292 4491
16293 4491
16282 4490
16285 4488
16279 4488
16268 4487
16263 4485
16255 4485
16266 4484
16253 4483
16257 4482
16249 4481
16246 4481
16234 4479
16236 4478
16227 4477
16231 4476
16220 4475
16228 4474
16222 4474
16215 4472
16210 4472
16225 4471
16217 4469
16208 4469
16200 4468
16209 4467
16202 4466
16194 4466
16211 4464
16205 4464
16192 4464
16187 4463
16196 4462
16190 4462
16182 4460
16176 4460
16187 4458
16179 4457
16173 4456
16180 4456
16170 4456
16167 4455
16158 4455
16165 4453
16159 4453
16149 4451
16142 4452
16151 4450
16147 4449
16138 4449
16154 4447
16144 4447
16142 4446
16136 4445
16143 4445
16131 4443
16126 4443
16119 4442
16130 4442
16124 4441
16120 4441
16117 4439
16120 4439
16114 4439
16113 4437
16119 4436
16109 4437
16102 4435
16098 4435
16107 4433
16106 4433
16094 4434
16092 4432
16097 4432
16088 4431
16084 4430
16094 4428
16089 4429
16083 4427
16079 4428
16086 4427
16079 4425
16075 4425
16067 4424
16081 4424
16073 4423
16069 4422
16076 4422
16065 4421
16062 4420
16054 4419
16068 4419
16061 4418
16054 4418
16049 4417
16059 4415
16057 4417
16049 4416
16047 4414
16046 4413
16039 4414
16041 4412
16048 4411
16040 4411
16034 4411
16027 4409
16042 4409
16034 4408
16033 4409
16023 4407
16027 4407
16023 4406
16018 4406
16029 4406
16020 4406
16018 4404
16015 4404
16015 4402
16008 4401
16008 4401
16003 4401
16012 4400
16006 4399
16004 4399
16010 4399
16002 4397
15997 4398
15989 4397
16005 4397
16000 4396
16001 4395
15997 4394
15998 4394
15994 4393
15993 4393
15990 4393
15998 4392
15987 4391
15982 4390
15999 4390
15994 4390
15994 4389
15986 4389
15988 4387
15988 4388
15981 4387
15973 4386
15983 4386
15975 4386
15971 4385
15976 4384
15974 4384
15968 4383
15961 4383
15971 4383
15968 4382
15966 4381
15961 4380
15967 4380
15960 4379
15962 4379
15961 4379
15958 4379
15955 4378
15952 4378
15958 4377
15952 4377
15948 4375
15944 4375
15950 4375
15949 4374
15943 4374
15943 4374
15944 4372
15943 4371
15938 4372
15947 4369
15946 4370
15943 4370
15939 4370
15942 4369
15938 4369
15930 4368
15931 4367
15930 4368
15925 4368
15922 4366
15927 4365
15923 4365
15918 4365
15932 4364
15928 4364
15922 4364
15919 4363
15921 4363
15920 4362
15917 4362
15914 4361
15919 4360
15911 4360
15911 4360
15906 4360
15910 4360
15910 4359
15909 4358
15916 4358
15911 4357
15909 4357
15903 4357
15905 4356
15898 4356
15897 4356
15895 4354
15900 4354
15901 4354
15897 4353
15900 4353
15897 4353
15892 4352
15893 4352
15898 4352
15892 4351
15890 4351
15887 4350
15894 4349
15890 4350
15891 4349
15898 4349
15890 4349
15888 4348
15890 4349
15895 4348
15889 4347
15886 4347
15881 4347
15886 4346
15883 4345
15882 4345
15879 4345
15883 4344
15878 4343
15878 4344
15882 4345
15877 4343
15880 4343
15870 4343
15879 4342
15877 4342
15873 4342
15872 4341
15873 4341
15871 4340
15872 4340
15871 4340
15868 4338
15870 4339
15865 4339
15865 4338
15863 4338
15863 4337
15866 4337
15865 4337
15862 4338
15859 4337
15866 4335
15861 4335
15858 4335
15855 4335
15861 4334
15859 4334
15861 4334
15856 4335
15852 4334
15848 4332
15848 4332
15853 4332
15853 4331
15845 4332
15847 4331
15848 4331
15846 4331
15845 4329
15845 4330
15850 4329
15849 4329
15843 4329
15841 4329
15847 4328
15840 4327
15840 4328
15844 4328
15844 4327
15841 4327
15841 4326
15848 4326
15837 4326
15840 4326
15834 4325
15844 4325
15840 4325
15839 4325
15842 4324
15836 4324
15833 4323
15830 4323
15840 4323
15837 4323
15836 4322
15833 4322
15832 4322
15829 4322
15825 4321
15823 4321
15831 4320
15832 4320
15829 4321
15826 4320
15825 4320
15819 4319
15819 4320
15828 4319
15821 4319
15823 4318
15822 4318
15824 4317
15820 4318
15813 4317
15824 4317
15825 4317
15819 4316
15816 4316
15820 4317
15818 4315
15818 4316
15815 4315
15819 4315
15815 4316
15812 4316
15818 4314
15818 4315
15812 4313
15809 4314
15813 4313
15808 4313
15804 4313
15807 4312
15809 4312
15807 4311
15808 4312
15806 4312
15809 4312
15810 4312
15805 4311
15812 4311
15809 4311
15805 4310
15803 4310
15808 4309
15801 4310
15803 4309
15799 4309
15803 4310
15802 4308
15803 4309
15805 4308
15804 4308
15800 4309
15796 4308
15805 4308
15801 4307
15800 4308
15797 4308
