# device warming up from 21 °C to 27 °C (measured at case), watching a ceiling of 19.25 °C
#rmin rmax central devtempsns
15830 16034 15888 4365
15823 16029 15882 4364
15843 16052 15904 4365
15844 16044 15903 4365
15838 16042 15898 4364
15831 16040 15896 4365
15829 16040 15896 4365
15861 16060 15916 4364
15850 16054 15913 4364
15854 16054 15912 4364
15848 16051 15911 4364
15843 16055 15911 4365
15866 16065 15924 4364
15868 16056 15923 4364
15865 16057 15921 4363
15861 16055 15915 4363
15855 16058 15915 4363
15873 16063 15928 4364
15874 16062 15927 4363
15862 16059 15924 4363
15865 16060 15923 4363
15866 16059 15924 4363
15864 16057 15924 4363
15861 16059 15922 4364
15862 16060 15923 4363
15859 16061 15920 4363
15854 16060 15920 4363
15852 16056 15921 4363
15858 16050 15918 4363
15856 16052 15921 4362
15852 16054 15921 4363
15850 16054 15919 4363
15845 16053 15920 4363
15841 16055 15917 4363
15839 16056 15913 4363
15839 16057 15912 4363
15835 16053 15914 4363
15833 16049 15912 4363
15908 16084 15959 4362
15905 16080 15961 4362
15905 16080 15958 4361
15903 16076 15955 4363
15903 16075 15957 4362
15899 16077 15957 4363
15899 16075 15952 4362
15897 16078 15951 4362
15896 16077 15950 4363
15890 16078 15949 4362
15893 16077 15951 4363
15890 16074 15949 4363
15892 16074 15948 4362
15888 16080 15948 4362
15885 16074 15946 4363
15879 16075 15948 4362
15883 16076 15949 4362
15878 16071 15947 4362
15880 16074 15948 4362
15877 16072 15946 4361
15875 16074 15945 4361
15921 16092 15973 4361
15920 16085 15971 4361
15919 16090 15969 4360
15918 16086 15969 4361
15918 16086 15971 4360
15911 16087 15967 4360
15913 16087 15965 4360
15909 16088 15964 4360
15909 16086 15966 4360
15910 16088 15965 4360
15908 16085 15964 4360
15908 16082 15964 4360
15902 16081 15962 4360
15899 16086 15962 4360
15903 16081 15958 4360
15903 16084 15959 4361
15898 16083 15959 4360
15897 16086 15958 4360
15892 16082 15955 4360
15893 16085 15956 4360
15892 16082 15956 4360
15928 16094 15980 4359
15926 16091 15977 4361
15923 16089 15975 4360
15921 16091 15975 4359
15919 16097 15973 4359
15917 16089 15973 4360
15915 16089 15974 4358
15914 16085 15973 4360
15916 16083 15970 4360
15912 16085 15974 4359
15914 16082 15973 4358
15907 16081 15967 4359
15906 16084 15965 4359
15908 16082 15964 4359
15903 16085 15965 4359
15905 16079 15965 4359
15902 16084 15966 4358
15901 16083 15964 4359
15900 16081 15963 4359
15897 16083 15962 4358
15895 16084 15960 4358
15930 16089 15978 4358
15926 16090 15975 4358
15923 16089 15977 4358
15923 16089 15973 4358
15920 16090 15975 4359
15919 16089 15976 4358
15917 16090 15972 4359
15915 16089 15970 4358
15916 16090 15973 4358
