# device cooling down from about 30 °C
#rmin rmax central devtempsns
15365 15813 15568 4185
15361 15810 15563 4184
15568 15836 15659 4186
15558 15833 15657 4186
15555 15831 15656 4185
15552 15826 15651 4185
15556 15824 15647 4185
15585 15834 15661 4186
15581 15832 15659 4186
15577 15831 15655 4186
15571 15828 15656 4186
15572 15822 15655 4186
15583 15834 15656 4186
15578 15831 15654 4186
15576 15831 15651 4186
15573 15827 15646 4185
15571 15826 15644 4185
15580 15840 15655 4186
15573 15833 15653 4187
15568 15834 15652 4186
15571 15834 15652 4187
15571 15832 15649 4186
15561 15831 15648 4187
15567 15827 15647 4187
15563 15825 15649 4187
15564 15829 15648 4186
15565 15823 15647 4186
15561 15824 15640 4186
15553 15819 15644 4186
15554 15818 15640 4186
15557 15817 15639 4186
15551 15820 15636 4186
15550 15817 15634 4187
15547 15814 15633 4186
15546 15818 15632 4187
15547 15814 15633 4186
15540 15813 15633 4187
15541 15814 15635 4187
15583 15845 15659 4188
15586 15845 15656 4188
15583 15842 15657 4188
15576 15836 15657 4189
15579 15837 15654 4188
15574 15836 15651 4188
15577 15835 15652 4188
15569 15835 15648 4188
15568 15834 15648 4188
15565 15835 15649 4187
15566 15834 15646 4188
15567 15831 15645 4187
15561 15827 15640 4187
15564 15827 15643 4188
15564 15826 15640 4186
15557 15825 15637 4187
15558 15822 15638 4186
15559 15822 15636 4186
15550 15819 15635 4187
15556 15821 15635 4186
15553 15816 15635 4187
15581 15837 15662 4187
15580 15838 15658 4187
15578 15837 15657 4186
15579 15838 15658 4187
15575 15833 15655 4187
15578 15836 15655 4186
15576 15833 15657 4187
15578 15838 15659 4187
15574 15836 15657 4188
15571 15831 15656 4187
15565 15832 15654 4187
15568 15831 15652 4188
15564 15829 15647 4187
15569 15826 15645 4187
15565 15823 15646 4188
15562 15826 15649 4187
15561 15825 15648 4187
15560 15827 15648 4187
15561 15823 15649 4188
15556 15821 15644 4187
15557 15822 15645 4188
15572 15837 15653 4187
15570 15836 15651 4187
15569 15834 15653 4188
15567 15833 15650 4188
15565 15837 15651 4187
15564 15830 15650 4187
15558 15834 15649 4187
15558 15830 15648 4187
15561 15833 15649 4187
15558 15835 15648 4186
15562 15838 15649 4187
15560 15831 15648 4188
15557 15823 15646 4187
15556 15827 15644 4187
15558 15828 15643 4187
15554 15828 15643 4187
15552 15823 15638 4187
15553 15822 15637 4187
15555 15822 15636 4188
15548 15824 15635 4188
15548 15822 15636 4188
15569 15833 15648 4188
15571 15837 15645 4187
15568 15833 15644 4188
15570 15834 15643 4188
15571 15831 15644 4187
15566 15831 15643 4187
15563 15830 15641 4188
15561 15826 15642 4188
15564 15828 15643 4188
15564 15829 15641 4188
15562 15829 15641 4188
15562 15825 15638 4188
15558 15825 15636 4189
15563 15827 15637 4187
15559 15825 15636 4187
15558 15824 15636 4187
15557 15821 15637 4188
15556 15819 15637 4188
15555 15820 15636 4187
15557 15818 15634 4188
15553 15820 15634 4188
15567 15836 15650 4188
15563 15836 15644 4187
15562 15839 15645 4188
15565 15834 15641 4188
15564 15831 15640 4187
15563 15834 15643 4188
15565 15832 15642 4188
15558 15826 15642 4188
15557 15828 15640 4188
15556 15827 15636 4188
15559 15826 15637 4188
15552 15827 15635 4188
15552 15824 15635 4187
15551 15825 15632 4188
15556 15826 15630 4187
15557 15823 15633 4188
15553 15821 15631 4187
15553 15823 15629 4188
15547 15825 15627 4187
15551 15821 15630 4188
15545 15827 15633 4188
15559 15830 15642 4187
15563 15832 15639 4188
15560 15834 15637 4188
15562 15833 15637 4189
15564 15830 15635 4188
15563 15831 15633 4189
15562 15837 15634 4189
15555 15830 15634 4188
15558 15831 15634 4188
15556 15835 15634 4190
15556 15827 15632 4188
15552 15828 15631 4188
15558 15831 15633 4188
15557 15825 15631 4188
15555 15827 15634 4189
15557 15826 15633 4189
15555 15826 15632 4188
15555 15822 15633 4189
15554 15825 15630 4189
15554 15822 15629 4189
15553 15824 15629 4188
15564 15829 15637 4189
15555 15829 15636 4189
15555 15832 15634 4189
15554 15830 15632 4189
15559 15831 15629 4189
15555 15827 15629 4188
15554 15828 15630 4189
15554 15827 15629 4189
15553 15831 15631 4190
15557 15832 15631 4189
15551 15824 15631 4189
15554 15823 15631 4189
15552 15824 15629 4189
15550 15823 15630 4188
15546 15821 15626 4189
15550 15822 15628 4189
15551 15820 15629 4188
15548 15823 15628 4189
15548 15819 15628 4187
15545 15821 15626 4189
15550 15818 15625 4188
15550 15835 15629 4189
15549 15833 15632 4189
15549 15831 15631 4189
15548 15832 15630 4188
15544 15828 15629 4189
15544 15824 15627 4189
15539 15824 15626 4189
15540 15823 15626 4189
15542 15826 15624 4189
15542 15829 15624 4189
15541 15820 15625 4189
15542 15821 15625 4188
15544 15819 15625 4189
15539 15821 15627 4190
15540 15820 15626 4190
15539 15820 15623 4189
15541 15821 15623 4189
15535 15819 15621 4189
15536 15816 15623 4190
15535 15820 15622 4189
15537 15820 15620 4190
15550 15827 15629 4189
15547 15829 15629 4189
15541 15825 15627 4189
15545 15822 15624 4189
15548 15823 15627 4188
15548 15823 15629 4189
15545 15825 15626 4189
15546 15823 15626 4189
15548 15823 15624 4189
15541 15822 15625 4189
15541 15820 15624 4189
15541 15821 15622 4190
15543 15821 15620 4189
15542 15823 15620 4189
15537 15821 15617 4189
15540 15818 15618 4188
15540 15820 15619 4189
15542 15818 15618 4189
15540 15821 15615 4189
15538 15821 15618 4189
15539 15818 15616 4189
15541 15824 15622 4190
15542 15819 15621 4190
15542 15819 15621 4189
15542 15819 15623 4190
15543 15821 15620 4189
15548 15821 15622 4190
15541 15817 15621 4189
15544 15818 15618 4189
15538 15814 15617 4189
15541 15815 15617 4189
15539 15815 15617 4189
15534 15815 15616 4189
15532 15816 15619 4190
15537 15815 15615 4189
15534 15813 15619 4190
15537 15813 15616 4189
15540 15815 15617 4189
15534 15813 15618 4189
15532 15813 15617 4188
15536 15813 15613 4189
15532 15812 15613 4189
15534 15821 15620 4189
15541 15817 15621 4190
15536 15817 15620 4189
15535 15817 15618 4189
15537 15817 15622 4190
15531 15816 15622 4189
15534 15816 15622 4190
15537 15815 15619 4189
15531 15814 15622 4190
15532 15811 15622 4190
15533 15816 15619 4189
15528 15814 15620 4189
15524 15815 15619 4189
15525 15812 15616 4189
15531 15811 15615 4189
15530 15816 15618 4190
15530 15809 15617 4189
15530 15813 15614 4189
15530 15811 15615 4189
15530 15812 15615 4190
15525 15810 15613 4189
15533 15819 15617 4189
15535 15818 15615 4189
15532 15815 15616 4189
15532 15816 15614 4189
15535 15816 15614 4189
15531 15816 15615 4189
15535 15813 15614 4189
15526 15815 15611 4190
15533 15812 15611 4190
15533 15813 15610 4190
15536 15811 15609 4190
15532 15814 15609 4191
15530 15812 15610 4190
15528 15813 15611 4189
15528 15811 15610 4190
15531 15811 15609 4190
15533 15812 15605 4190
15531 15810 15606 4190
15534 15809 15609 4189
15525 15812 15610 4190
15524 15808 15612 4189
15535 15821 15615 4190
15533 15815 15615 4190
15529 15814 15616 4189
15532 15815 15616 4190
15534 15815 15617 4190
15531 15813 15616 4190
15535 15811 15616 4190
15524 15810 15615 4190
15528 15816 15614 4190
15528 15812 15615 4190
15533 15810 15613 4189
15526 15813 15610 4190
15529 15814 15611 4191
15524 15812 15611 4190
15531 15810 15610 4190
15527 15811 15613 4190
15531 15812 15612 4190
15529 15811 15613 4190
15530 15812 15612 4189
15531 15810 15612 4190
15528 15812 15612 4190
15530 15814 15609 4190
15531 15815 15609 4191
15533 15816 15610 4191
15533 15818 15611 4190
15530 15818 15612 4190
15531 15814 15609 4191
15532 15814 15607 4190
15530 15813 15608 4191
15523 15818 15606 4190
15522 15817 15606 4191
15524 15814 15606 4189
15523 15812 15606 4191
15521 15813 15606 4190
15518 15814 15605 4191
15523 15815 15607 4190
15522 15814 15607 4190
15525 15810 15608 4191
15519 15810 15608 4190
15522 15809 15608 4191
15520 15807 15604 4191
15520 15810 15604 4192
15527 15822 15608 4190
15533 15818 15607 4190
15532 15820 15605 4190
15529 15820 15604 4191
15529 15815 15603 4190
15530 15815 15601 4189
15524 15814 15603 4190
15527 15812 15603 4190
15527 15815 15601 4190
15529 15816 15600 4191
15526 15814 15602 4191
15525 15813 15603 4191
15528 15815 15603 4191
15526 15811 15603 4190
15524 15814 15602 4192
15521 15814 15604 4191
15525 15813 15601 4191
15522 15812 15603 4190
15527 15812 15599 4191
15517 15811 15600 4191
15521 15813 15599 4191
15525 15813 15607 4190
15525 15813 15608 4191
15526 15811 15605 4191
15524 15807 15608 4191
15529 15808 15605 4192
15527 15807 15604 4191
15527 15809 15605 4191
15526 15814 15605 4191
15527 15813 15609 4191
15527 15808 15606 4191
15524 15811 15604 4191
15522 15813 15603 4191
15524 15814 15603 4191
15526 15815 15603 4191
15524 15809 15604 4191
15524 15811 15605 4192
15523 15812 15608 4192
15521 15807 15605 4191
15526 15812 15604 4193
15521 15809 15603 4191
15521 15809 15603 4191
15526 15813 15606 4192
15529 15812 15603 4191
15527 15810 15602 4192
15527 15810 15603 4191
15519 15812 15603 4191
15524 15810 15598 4191
15521 15812 15602 4192
15519 15810 15603 4191
15527 15809 15601 4192
15523 15812 15605 4192
15525 15812 15602 4191
15520 15809 15600 4192
15522 15810 15599 4192
15521 15808 15600 4192
15522 15809 15599 4191
15522 15806 15598 4191
15522 15808 15596 4192
15522 15806 15599 4191
15523 15808 15597 4192
15522 15806 15596 4192
15519 15809 15597 4192
15526 15813 15603 4192
15525 15811 15603 4192
15525 15813 15604 4192
15522 15810 15602 4192
15521 15808 15598 4192
15522 15816 15598 4192
15523 15812 15601 4192
15527 15815 15600 4192
15524 15810 15600 4192
15523 15810 15596 4192
15521 15812 15600 4193
15520 15811 15598 4193
15517 15814 15596 4192
15524 15815 15598 4193
15524 15811 15600 4192
15525 15810 15600 4193
15521 15812 15599 4193
15521 15810 15598 4192
15526 15808 15600 4192
15521 15809 15602 4192
15521 15808 15600 4192
15525 15811 15602 4194
15521 15808 15601 4193
15521 15808 15597 4192
15522 15809 15595 4193
15521 15805 15591 4193
15519 15809 15594 4192
15521 15805 15593 4192
15519 15805 15591 4193
15522 15805 15594 4192
15520 15806 15593 4192
15520 15807 15593 4192
15523 15804 15594 4192
15522 15809 15593 4192
15514 15805 15590 4192
15519 15804 15590 4193
15518 15807 15593 4193
15516 15803 15596 4193
15517 15803 15595 4192
15516 15807 15594 4193
15516 15808 15594 4192
15519 15806 15597 4193
15518 15811 15597 4193
15522 15808 15597 4193
15519 15807 15593 4192
15516 15807 15593 4193
15516 15804 15594 4192
15515 15808 15596 4193
15518 15807 15596 4193
15518 15802 15594 4193
15517 15807 15596 4193
15517 15809 15591 4193
15513 15807 15589 4193
15517 15807 15590 4192
15514 15807 15589 4193
15515 15809 15592 4193
15510 15806 15591 4193
15508 15806 15592 4193
15513 15807 15591 4193
15512 15808 15590 4194
15515 15809 15589 4194
15514 15805 15590 4193
15513 15804 15588 4193
15521 15810 15597 4193
15514 15806 15596 4193
15520 15808 15596 4193
15522 15810 15597 4193
15521 15806 15596 4194
15521 15808 15599 4193
15520 15808 15595 4192
15521 15812 15594 4193
15521 15809 15594 4193
15520 15810 15592 4193
15520 15810 15593 4193
15517 15806 15593 4194
15516 15806 15595 4193
15516 15808 15595 4194
15517 15804 15595 4193
15516 15804 15594 4194
15512 15805 15597 4193
15513 15804 15595 4194
15515 15808 15598 4194
15516 15804 15593 4194
15516 15807 15591 4194
15516 15805 15594 4194
15518 15803 15592 4194
15515 15803 15593 4194
15514 15806 15593 4194
15515 15806 15595 4193
15517 15808 15594 4193
15514 15803 15593 4193
15511 15804 15594 4194
15516 15805 15592 4194
15514 15804 15593 4194
15513 15806 15596 4194
15514 15803 15596 4193
15512 15806 15596 4193
15512 15803 15595 4194
15515 15805 15595 4193
15511 15804 15596 4193
15513 15804 15597 4194
15513 15798 15595 4193
15513 15801 15596 4194
15512 15800 15592 4194
15515 15800 15591 4194
15518 15810 15594 4194
15511 15806 15593 4194
15514 15806 15593 4194
15514 15803 15589 4193
15513 15802 15590 4193
15511 15804 15590 4193
15511 15801 15590 4194
15511 15803 15593 4194
15509 15802 15591 4194
15511 15806 15592 4194
15514 15801 15592 4195
15509 15804 15593 4194
15511 15804 15593 4194
15512 15808 15589 4194
15510 15806 15590 4194
15509 15804 15590 4194
15515 15803 15590 4194
15509 15805 15592 4193
15510 15803 15595 4194
15513 15800 15594 4194
15507 15803 15590 4195
15518 15807 15593 4194
15513 15805 15593 4195
15516 15807 15592 4194
15515 15808 15593 4194
15517 15811 15593 4195
15515 15808 15592 4195
15510 15804 15593 4194
15513 15803 15593 4195
15511 15806 15593 4195
15511 15808 15593 4194
15515 15805 15592 4195
15511 15803 15591 4194
15513 15809 15588 4194
15510 15809 15591 4195
15509 15806 15597 4195
15506 15805 15594 4195
15512 15808 15592 4195
15502 15810 15592 4196
15505 15809 15590 4194
15509 15807 15590 4194
15510 15802 15592 4194
15514 15806 15591 4195
15514 15802 15591 4195
15513 15807 15592 4195
15513 15803 15592 4194
15509 15803 15592 4194
15514 15802 15591 4195
15515 15803 15590 4196
15514 15800 15590 4193
15516 15797 15590 4194
15513 15802 15592 4195
